up_mid,up_name,video_count,total_view,total_like,total_coin,total_interaction,avg_view,avg_like_rate,top10_count
39627524,食贫道,26,88494481,4143837,2414870,8251937,3403634.0,0.0494,8
504934876,渤海小吏,26,84595173,3376734,2910971,7949093,3253660.0,0.0411,3
86439234,Upspeed盛嘉成,26,69318948,3700347,1373047,6424981,2666113.0,0.0529,3
337521240,记录生活的蛋黄派,25,144027914,9961420,2872698,14781072,5761117.0,0.0718,17
18343098,河野华,25,90455034,6670310,1317356,10025065,3618201.0,0.0769,4
34009507,-显眼宝-,24,125916552,10296391,648240,12083876,5246523.0,0.087,15
14048220,马刀刻森,24,116787003,6593936,2790304,11625977,4866125.0,0.059,7
452606628,王师傅和小毛毛,24,58566113,5471422,2718248,9368849,2440255.0,0.0955,15
447317111,Meetfood觅食,23,158797171,6098905,2216084,10552210,6904225.0,0.0447,12
562197,中国BOY超级大猩猩,23,113842569,7108655,2365938,11500311,4949677.0,0.0643,16
285499073,东尼ookii,23,85707889,6690490,2611427,10758644,3726430.0,0.0757,10
474853499,李如儒也是李蠕蠕,22,121632419,8475986,617818,10047023,5528746.0,0.0733,10
9824766,敬汉卿,22,117371189,6075972,2162434,9364789,5335054.0,0.056,15
29329085,二喵的饭,22,84521756,7350745,3529189,12368538,3841898.0,0.0878,16
7788379,兔叭咯,22,78712429,5420078,2658760,10624876,3577838.0,0.0739,10
23604445,上海滩许Van强,22,53345448,4570544,2974044,8627792,2319367.0,0.0865,12
1455861172,剑客范十三,21,103913417,6007955,1519875,9042549,4948258.0,0.0664,5
321422126,进击的金厂长,21,89989449,4931336,1613909,7950588,4285212.0,0.0632,6
5870268,三代鹿人,21,85941851,5791902,1575556,8863346,4092469.0,0.0711,14
3546944530025226,于谦,21,54520952,1803472,726721,3441277,2596236.0,0.0323,0
14804670,无穷小亮的科普日常,20,147317606,9845017,1038345,12446794,6696255.0,0.0705,14
1659651634,七颗猩猩QKXX,20,146141109,6693758,457127,8687156,7307055.0,0.0555,12
53456,Warma,20,86217932,5409286,2410950,10248986,4310897.0,0.0657,11
3913194,高斯Goh,19,159134658,6006017,2079999,10445328,8375508.0,0.0412,16
113362335,宝剑嫂,19,61322384,5226894,1504446,7614791,3227494.0,0.0852,11
250858633,华农兄弟,19,54447494,2549813,677998,3889079,2865658.0,0.0466,11
323024456,雨琪在芬兰,19,53636581,2867890,1729808,5271532,2822978.0,0.0566,1
196356191,翔翔大作战,18,84533303,2751465,1104664,4768862,4696295.0,0.0355,13
72270557,芳斯塔芙,18,77506141,3968236,982798,6365942,4305897.0,0.0542,3
3380239,神奇的老皮,18,75897227,5024517,1919900,8681977,4216513.0,0.0684,9
42561463,浑元Rysn,18,68321521,4435537,439528,5985291,3795640.0,0.0687,3
46708782,鲁大能,18,63253600,5343860,3187362,10240748,3514089.0,0.0896,10
57863910,王者荣耀,17,82099763,2726511,371498,4185053,4829398.0,0.0393,4
11870568,拉宏桑,17,76136467,4932954,1378747,7374863,4478616.0,0.0598,6
16054375,自动鬼畜中的WZ,17,68756692,4753427,1287753,7561426,4044511.0,0.0717,7
81824112,导演小策,17,62597949,4004352,2463920,7691010,3682232.0,0.0686,9
476704454,小文哥吃吃吃,17,60433666,4244251,1480823,6319367,3554922.0,0.0731,8
90361813,三十六贱笑,17,60365357,5396466,2604859,9386243,3550903.0,0.0884,12
1833524110,含亮老师,17,48667282,4293445,1854304,7249278,2862781.0,0.0818,4
37029661,小鹿Lawrence,17,47322346,1447145,665603,2829573,2783667.0,0.0348,0
407054668,亿点点不一样,16,109754678,5704342,1536573,9139731,6859667.0,0.0543,8
473524263,阿彭彭阿,16,105425665,6001940,2520870,9692494,6589104.0,0.0602,9
1614789471,派小轩,16,74525722,4766513,232795,5406208,4657858.0,0.0646,3
254463269,毕导,16,69237592,4847559,2288977,9112286,4327350.0,0.0779,12
130636947,塑料叉FOKU,16,63270458,3237288,781329,5090798,3954404.0,0.0576,3
680447,马里奥红叔,16,57048885,3625074,1041565,5541636,3565555.0,0.0662,9
497525820,所长Wy,16,40635982,1159367,256966,1847219,2539749.0,0.0332,0
3433092,狂阿弥_,16,35960319,2458120,1763137,5401087,2247520.0,0.0685,4
36081646,洛天依,16,27583718,1961914,626702,3676758,1723982.0,0.0766,0
163637592,老师好我叫何同学,15,103119656,4981541,1655466,8279523,6874644.0,0.0504,10
116683,=咬人猫=,15,73266141,3096352,1382676,6091354,4884409.0,0.0455,5
59905809,哦呼w,15,52887915,4390399,1242876,7072120,3525861.0,0.0845,4
483879799,猛男舞团IconX,15,52792167,4991640,939818,6861102,3519478.0,0.0932,3
297344797,朵朵花林,15,45837119,5041891,1067433,7227682,3055808.0,0.1222,3
7552204,啊吗粽,15,45428148,3245271,1580933,5688727,3028543.0,0.0765,5
596842980,南翔,14,106259560,4085530,1210970,6858668,7589969.0,0.0414,5
406636263,HOLA小测佬,14,88220287,3801898,843251,6292786,6301449.0,0.0433,5
533459953,刘庸干净又卫生,14,69665190,5218458,703564,6791469,4976085.0,0.0754,7
1895195099,江寻千,14,68873125,4085458,1349398,7147341,4919509.0,0.0608,6
21837784,阿斗归来了,14,57260327,2252869,904589,3871879,4090023.0,0.0429,1
3546888255048212,特厨隋坡,14,48352109,3677384,819280,5383817,3453722.0,0.0758,6
473837611,新华社,14,43860372,3816756,1240462,6151725,3132884.0,0.0894,7
15892313,知名相声演员BBBBB大王,14,43830470,2340510,504852,3583251,3130748.0,0.0563,2
1955897084,鸣潮,14,38060678,1565264,515513,2774231,2718620.0,0.0416,1
178029850,杜海皇,13,113042037,4029998,1281905,7086118,8695541.0,0.0373,12
1155574439,真子日记,13,78790281,5019815,520463,6340567,6060791.0,0.0673,6
1986039004,Tiger西西,13,76595579,5297613,224561,6056672,5891968.0,0.079,3
25503580,布锅锅,13,58879474,3302116,1505180,5844509,4529190.0,0.0585,8
31009079,萧然Q,13,56307793,929090,769551,2032229,4331369.0,0.0188,0
40966108,倒悬的橘子,13,50882627,3551456,1286215,6029729,3914048.0,0.0716,3
1636034895,绝区零,13,50597395,3292318,1226756,5641059,3892107.0,0.0659,9
1131457022,人民日报,13,49780378,3540197,1097884,5775744,3829260.0,0.0764,8
3494349557992101,归乡人山白,13,45772048,5661634,1802177,8178461,3520927.0,0.1226,7
50329118,哔哩哔哩英雄联盟赛事,13,35055088,743181,397260,1742591,2696545.0,0.0191,2
