,view,like,coin,favorite,share,reply,danmaku,interaction,duration_min
count,9071.0,9071.0,9071.0,9071.0,9071.0,9071.0,9071.0,9071.0,9041.0
mean,3806062.5,235935.2,71634.8,48274.9,12677.6,4002.8,8445.4,380970.8,11.9
std,2284927.4,155959.6,68284.0,39282.0,11662.0,2651.5,7855.3,229546.6,21.8
min,205894.0,2592.0,157.0,117.0,66.0,0.0,0.0,7859.0,0.2
25%,2119331.5,116590.5,19109.0,18890.5,3952.0,2006.0,2354.0,201980.5,2.8
50%,3295164.0,205899.0,49785.0,35999.0,8721.0,3364.0,5731.0,347521.0,6.2
75%,4919537.5,318882.0,102487.5,66921.0,17872.0,5412.0,12187.5,524768.5,13.1
max,13520880.0,820234.0,335279.0,184766.0,53762.0,13006.0,33444.0,1353700.0,529.0
