pub_group,view,like,coin,favorite,share,reply,danmaku,interaction,duration_min
30天以上,3805480.4,236579.9,72105.4,48343.4,12692.6,3991.6,8471.7,382184.6,11.8
7-30天,3844760.0,192439.0,38131.5,43767.7,11699.8,4700.8,6468.3,297207.0,16.9
7天内,3878900.4,161206.9,33501.2,39277.1,10659.8,5882.1,7297.8,257824.8,10.5
